"","Transaction","Menu","Class"
"35",24811,"Chawanmushi","Appetizer"
"36",24812,"[SL]Nama Bara Chirashi Set","Chirashi Lunch"
"37",24812,"[SL]Teriyaki Wagyu Harami Don","Donburi Lunch"
"38",24813,"[KL]Sashimi Mori Kobachi","Kobachi Lunch"
"39",24814,"[SL]Aburi Kaisen Bara Chirashi","Chirashi Lunch"
"40",24814,"[KL]Sashimi Mori Kobachi","Kobachi Lunch"
"41",24814,"[SL]Seafood Mix KM","KM Lunch"
"42",24814,"[SL]Seafood Mix KM","KM Lunch"
"43",24814,"[SL]Aburi Kaisen KM","KM Lunch"
"44",24814,"[KL]Salmon Belly Teriyaki","Kobachi Lunch"
"45",24814,"[KL]Pork Shogayaki Kobachi","Kobachi Lunch"
"46",24814,"[KL]Chicken Teriyaki Kobachi","Kobachi Lunch"
"47",24815,"[SL]Una Don","Donburi Lunch"
"48",24816,"[SL]SUN Chirashi","Chirashi Lunch"
"49",24817,"[SL]Salmon Tori KM","KM Lunch"
"50",24817,"[8pc]Sp Aburi Salmon Roll","Sushi Roll"
"51",24818,"[SL]Gindara & Niku Tofu Nabe","Washoku Lunch"
"52",24818,"[SL]Teriyaki Wagyu Harami Don","Donburi Lunch"
"53",24818,"Foie Gras Sushi","Sushi"
"54",24818,"Hirame Sushi","Sushi"
"55",24818,"Hamachi Sushi","Sushi"
"56",24818,"Tai Sushi","Sushi"
"57",24818,"pc Tobiko Sushi","Sushi"
"58",24819,"[KL]Salmon Belly Shioyaki","Kobachi Lunch"
"59",24819,"[KL]Saba Shioyaki Kobachi","Kobachi Lunch"
"60",24819,"Gin x Mint","Cocktail"
"61",24820,"Shokado Bento","Bento"
"62",24820,"[SL]SUN Sauce Katsu Don","Donburi Lunch"
"63",24820,"Moonlight","Non-Alc"
"64",24821,"[SL]Unagi Salmon Chirashi","Chirashi Lunch"
"65",24821,"[SL]Unagi Yakiniku KM","KM Lunch"
"66",24821,"[2p]Salmon Sashimi 3K","Sashimi"
"67",24822,"[SL]Una Don","Donburi Lunch"
"68",24822,"[SL]Aburi Sal Hotate Don","Donburi Lunch"
"69",24823,"[SL]Hotate Unagi Sal Chirashi","Chirashi Lunch"
"70",24823,"[SL]Gindara & Niku Tofu Nabe","Washoku Lunch"
"71",24824,"[2p]Sashimi 5K","Sashimi"
"72",24824,"[SL]Aburi Kaisen KM","KM Lunch"
"73",24824,"Concord Tea","Non-Alc"
"74",24825,"[SL]Gindara & Niku Tofu Nabe","Washoku Lunch"
"75",24825,"[SL]Teriyaki Wagyu Harami Don","Donburi Lunch"
"76",24825,"[SL]Teriyaki Wagyu Harami Don","Donburi Lunch"
"77",24825,"Gindara Teriyaki","Seafood"
"78",24825,"Sashimi Salad","Appetizer"
"79",24826,"[SL]Tendon Set","Donburi Lunch"
"80",24826,"[SL]Yakiniku KM","KM Lunch"
"81",24827,"[SL]Unagi Yakiniku KM","KM Lunch"
"82",24827,"[SL]Dbl Tori KM","KM Lunch"
"83",24827,"[SL]Salmon Tori KM","KM Lunch"
"84",24828,"[SL]US Tenderloin Steak","Steak Lunch"
"85",24828,"Komachi Bento","Bento"
"86",24829,"[SL]Hotate Unagi Sal Chirashi","Chirashi Lunch"
"87",24829,"[SL]Niku Atsu Hotate Unagi KM","KM Lunch"
"88",24829,"[SL]Aburi Kaisen KM","KM Lunch"
"89",24830,"[SL]Buta Don Set","Donburi Lunch"
"90",24830,"muroka nama summer","Others"
"91",24831,"[SL]Unagi Salmon Chirashi","Chirashi Lunch"
"92",24831,"[SL]Salmon Teri & Chicken","Steak Lunch"
"93",24832,"Komachi Bento","Bento"
"94",24832,"[KL]Chicken Teriyaki Kobachi","Kobachi Lunch"
"95",24833,"Shokado Bento","Bento"
"96",24833,"[SL]Kaisen Mix Nabe Set","Nabe Lunch"
"97",24834,"[SL]Temp Soba & Mini Sal Don","Washoku Lunch"
"98",24834,"Tofu Parfait","Parfait"
"99",24835,"[SL]Hotate Unagi Sal Chirashi","Chirashi Lunch"
"100",24835,"[SL]Temp Soba & Mini Sal Don","Washoku Lunch"
"101",24835,"[SL]Tori Unagi KM","KM Lunch"
"102",24835,"[SL]Unagi Yakiniku KM","KM Lunch"
"103",24835,"[SL]Aburi Sal Hotate Don","Donburi Lunch"
"104",24835,"[KL]Chicken Teriyaki Kobachi","Kobachi Lunch"
"105",24836,"Kubota Senjyu","Sake"
"106",24836,"[SL]Beef Nabe Set","Nabe Lunch"
"107",24837,"Komachi Bento","Bento"
"108",24838,"[SL]Hotate Unagi Sal Chirashi","Chirashi Lunch"
"109",24838,"[SL]Aburi Kaisen KM","KM Lunch"
"110",24838,"[SL]Salmon Tori KM","KM Lunch"
"111",24839,"[SL]Nama Bara Chirashi Set","Chirashi Lunch"
"112",24839,"[SL]Yakimono & Sashimi 3K","Washoku Lunch"
"113",24839,"[SL]SUN Sauce Katsu Don","Donburi Lunch"
"114",24839,"KM Soup","Dinner KM"
"115",24840,"[SL]Aburi Kaisen KM","KM Lunch"
"116",24840,"[SL]Una Don","Donburi Lunch"
"117",24840,"[SL]Yakiniku KM","KM Lunch"
"118",24841,"Komachi Bento","Bento"
"119",24841,"Rokugin Lychee Liqueur","Promo"
"120",24842,"[KL]Sashimi Mori Kobachi","Kobachi Lunch"
"121",24842,"[SL]Una Don","Donburi Lunch"
"122",24842,"[SL]Yakiniku KM","KM Lunch"
"123",24843,"[KL]Gindara Saikyo Kobachi","Kobachi Lunch"
"124",24843,"Rokugin Lychee Liqueur","Promo"
"125",24844,"[SL]Unagi Salmon Chirashi","Chirashi Lunch"
"126",24844,"[SL]Unagi Yakiniku KM","KM Lunch"
"127",24845,"[SL]Tokusen Tendon","Donburi Lunch"
"128",24846,"[KL]Sashimi Mori Kobachi","Kobachi Lunch"
"129",24846,"[SL]Teriyaki Wagyu Harami Don","Donburi Lunch"
"130",24846,"[SL]Nabe Udon & Roll","Nabe Lunch"
"131",24846,"[SL]Salmon Oyako Chirashi Set","Chirashi Lunch"
